,No.,Player Name,Position,Player_ID,Year,Country_Name
207,13.0,Muserskiy Dmitriy,O,122265,2021,Russia
208,15.0,Poletaev Victor,O,142635,2021,Russia
209,17.0,Mikhaylov Maxim,O,117184,2021,Russia
210,18.0,Kliuka Egor,OH,152885,2021,Russia
211,20.0,Kurkaev Ilyas,MB,143711,2021,Russia
212,24.0,Kobzar Igor,S,124794,2021,Russia
213,27.0,Golubev Valentin,L,132391,2021,Russia
214,,Tuomas Sammelvuo,COACH,N/A,2021,Russia
215,2.0,Kovacevic Uros,OH,124926,2021,Serbia
216,3.0,Kapur Milorad,L,136360,2021,Serbia
217,6.0,Pekovic Nikola,L,150383,2021,Serbia
218,7.0,Krsmanovic Petar,MB,146579,2021,Serbia
219,8.0,Ivovic Marko,OH,132022,2021,Serbia
220,9.0,Jovovic Nikola,S,124911,2021,Serbia
221,10.0,Kujundžić Miran,OH,162122,2021,Serbia
222,11.0,Batak Aleksa,S,173249,2021,Serbia
223,12.0,Peric Pavle,OH,173251,2021,Serbia
224,13.0,Simic Stevan,MB,143792,2021,Serbia
225,14.0,Atanasijevic Aleksandar,O,124915,2021,Serbia
226,16.0,Luburic Drazen,O,143794,2021,Serbia
227,18.0,Podrascanin Marko,MB,116525,2021,Serbia
228,21.0,Todorovic Vuk,S,173250,2021,Serbia
229,23.0,Vucicevic Bozidar,O,168276,2021,Serbia
230,26.0,Kovac Davide,OH,146751,2021,Serbia
231,,Slobodan KOVAČ,COACH,N/A,2021,Serbia
232,1.0,Štern Tonček,O,151390,2021,Slovenia
233,2.0,Pajenk Alen,MB,114962,2021,Slovenia
234,3.0,Pernuš Gregor,S,181130,2021,Slovenia
235,4.0,Kozamernik Jan,MB,151391,2021,Slovenia
236,5.0,Šket Alen,O,119022,2021,Slovenia
237,6.0,Gasparini Mitja,O,114952,2021,Slovenia
238,9.0,Vincic Dejan,S,114956,2021,Slovenia
239,10.0,Štalekar Sašo,MB,151404,2021,Slovenia
240,11.0,Štern Žiga,OH,155920,2021,Slovenia
241,12.0,Klobucar Jan,L,154546,2021,Slovenia
242,13.0,Kovačič Jani,L,144415,2021,Slovenia
243,15.0,Videčnik Matic,MB,161754,2021,Slovenia
244,16.0,Ropret Gregor,S,119018,2021,Slovenia
245,17.0,Urnaut Tine,OH,114957,2021,Slovenia
246,18.0,Čebulj Klemen,OH,136918,2021,Slovenia
247,19.0,Možič Rok,OH,168747,2021,Slovenia
248,,ALBERTO GIULIANI,COACH,N/A,2021,Slovenia
249,1.0,Anderson Matthew,O,118893,2021,USA
250,3.0,Sander Taylor,OH,124941,2021,USA
251,4.0,Jendryk II Jeffrey,MB,147721,2021,USA
252,5.0,Ensing Kyle,O,147417,2021,USA
253,6.0,Stahl Mitchell,MB,140185,2021,USA
254,7.0,Shoji Kawika,S,118913,2021,USA
255,8.0,Defalco Torey,OH,139254,2021,USA
256,9.0,Hanes Jake,O,170104,2021,USA
257,11.0,Christenson Micah,S,124879,2021,USA
258,12.0,Holt Maxwell,MB,118901,2021,USA
259,13.0,Patch Benjamin,O,136074,2021,USA
260,15.0,Sander Brenden,OH,147725,2021,USA
261,16.0,Tuaniga Joshua,S,147543,2021,USA
262,17.0,Jaeschke Thomas,OH,143682,2021,USA
263,18.0,Muagututia Garrett,OH,133463,2021,USA
264,19.0,Averill Taylor,MB,148120,2021,USA
265,20.0,Smith David,MB,116069,2021,USA
266,21.0,Watten Dustin,L,133895,2021,USA
267,22.0,Shoji Erik,L,119732,2021,USA
268,,John Speraw,COACH,N/A,2021,USA
269,1.0,Sanchez Matias,S,142412,2022,Argentina
270,2.0,Scarpa Tobias,L,174866,2022,Argentina
271,3.0,Martinez Franchi Jan,U,142410,2022,Argentina
272,4.0,Gallego Joaquin,MB,142411,2022,Argentina
273,5.0,Urchevich Pablo,S,171315,2022,Argentina
274,6.0,Martina Federico,O,132647,2022,Argentina
275,7.0,Conte Facundo,OH,118886,2022,Argentina
276,8.0,Loser Agustin,MB,152692,2022,Argentina
277,9.0,Danani Santiago,L,153053,2022,Argentina
278,10.0,Lazo Nicolás,OH,136737,2022,Argentina
279,11.0,Armoa Manuel,OH,174853,2022,Argentina
280,12.0,Lima Bruno,O,142415,2022,Argentina
281,13.0,Palacios Ezequiel,OH,125048,2022,Argentina
282,14.0,Mendez Nicolas,OH,125049,2022,Argentina
283,15.0,De Cecco Luciano,S,117457,2022,Argentina
284,16.0,Palonsky Luciano,OH,162546,2022,Argentina
285,17.0,Vicentin Luciano,OH,163555,2022,Argentina
286,18.0,Ramos Martin,MB,125047,2022,Argentina
287,19.0,Massimino Franco,L,135349,2022,Argentina
288,20.0,Zelayeta Mauro,OH,160816,2022,Argentina
289,22.0,Zerba Nicolas,MB,162543,2022,Argentina
290,23.0,Rajczakowski Flavio,MB,162542,2022,Argentina
291,24.0,Balague Manuel,O,152699,2022,Argentina
292,66.0,Medina Franco,MB,163557,2022,Argentina
293,77.0,Giraudo Matias,S,142420,2022,Argentina
294,,Marcelo Rodolfo MENDEZ,COACH,N/A,2022,Argentina
295,1.0,Graham Beau,MB,144457,2022,Australia
296,2.0,Dosanjh Arshdeep,S,144456,2022,Australia
297,3.0,Pope Lorenzo,OH,174192,2022,Australia
298,4.0,Holland Jackson,L,160879,2022,Australia
299,5.0,Murch Malachi,OH,139052,2022,Australia
300,6.0,Edgar Thomas,O,125036,2022,Australia
301,7.0,Weir James,MB,162077,2022,Australia
302,8.0,O'Dea Trent,MB,144464,2022,Australia
303,9.0,Staples Max,OH,135532,2022,Australia
304,10.0,Borgeaud Nicolas,S,151041,2022,Australia
305,11.0,Perry Luke,L,144578,2022,Australia
306,12.0,Mote Nehemiah,MB,144461,2022,Australia
307,13.0,Heptinstall Thomas,O,168641,2022,Australia
308,14.0,Hazelden Hamish,O,162264,2022,Australia
309,15.0,McAinsh Conal Tain,MB,172376,2022,Australia
310,17.0,Phillips Korben,MB,181281,2022,Australia
311,18.0,Williams Lincoln Alexander,O,132958,2022,Australia
312,19.0,D'Arcy-Miles William,O,186917,2022,Australia
313,21.0,Butler Nicholas,S,158841,2022,Australia
314,23.0,Flowerday Sam,OH,178207,2022,Australia
315,26.0,Sidiropoulos Dimitri,S,172333,2022,Australia
316,27.0,Senica Max,OH,162870,2022,Australia
317,29.0,Garrett Ethan,OH,169335,2022,Australia
318,31.0,Aubrey Matthew,O,162265,2022,Australia
319,33.0,Bray Lachlan,OH,189191,2022,Australia
