,Player_ID,Year,TeamA,TeamB,Serve_Points,Serve_Errors,Serve_Attempts,Total_Serves,Match_Date,Set_Successes,Set_Errors,Set_Attempts,Total_Sets,Attack_Success,Attack Errors,Attack_Attempts,Total_Attacks,Block_Successful,Block_Errors,Block_Rebounds,Total_Blocks,Reception_Successful,Reception_Errors,Reception_Attemps,Total_Receptions,Dig_Success,Dig_Errors,Dig_Attempts,Total_Digs
124,119851,2021,Argentina,Slovenia,0,1,11,12,04/06/2021,0,0,1,1,6,1,2,9,2,2,2,6,0,0,1,1,3,1,1,5
125,119851,2021,Germany,Argentina,0,0,0,0,03/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,117457,2021,Iran,Argentina,1,2,14,17,23/06/2021,40,1,57,98,1,0,0,1,2,2,0,4,0,0,1,1,2,1,0,3
127,117457,2021,France,Argentina,0,0,10,10,22/06/2021,23,1,32,56,0,0,0,0,0,2,1,3,0,0,1,1,4,0,0,4
128,117457,2021,Poland,Argentina,0,0,2,2,21/06/2021,10,0,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,117457,2021,Argentina,Serbia,0,1,5,6,17/06/2021,11,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
130,117457,2021,Argentina,Russia,1,0,6,7,16/06/2021,11,1,30,42,0,0,1,1,0,2,1,3,0,1,0,1,5,0,0,5
131,117457,2021,Argentina,Bulgaria,0,2,10,12,15/06/2021,20,0,56,76,1,0,1,2,0,1,3,4,0,0,0,0,4,3,1,8
132,117457,2021,Japan,Argentina,1,3,13,17,11/06/2021,41,0,52,93,1,0,1,2,1,2,1,4,0,0,0,0,10,4,2,16
133,117457,2021,Argentina,Australia,0,0,0,0,10/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,117457,2021,Argentina,Italy,0,0,5,5,09/06/2021,7,0,32,39,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
135,117457,2021,Netherlands,Argentina,0,0,17,17,05/06/2021,24,0,49,73,1,0,3,4,0,0,1,1,0,1,0,1,1,2,0,3
136,117457,2021,Argentina,Slovenia,0,1,6,7,04/06/2021,11,0,23,34,0,0,0,0,0,0,2,2,0,0,1,1,1,1,2,4
137,117457,2021,Germany,Argentina,1,4,11,16,03/06/2021,35,1,82,118,3,1,2,6,0,2,4,6,0,0,0,0,6,3,0,9
138,117457,2021,USA,Argentina,0,3,8,11,30/05/2021,22,0,43,65,1,0,3,4,0,1,1,2,0,0,2,2,2,0,1,3
139,117457,2021,Argentina,Canada,0,2,2,4,29/05/2021,9,0,28,37,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1
140,117457,2021,Brazil,Argentina,0,2,13,15,28/05/2021,22,1,51,74,0,0,1,1,3,1,0,4,0,0,0,0,0,2,0,2
141,162546,2021,Iran,Argentina,0,0,0,0,23/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,162546,2021,France,Argentina,0,0,0,0,22/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,162546,2021,Argentina,Serbia,0,0,0,0,17/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,162546,2021,Japan,Argentina,0,0,2,2,11/06/2021,0,0,0,0,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0
145,162546,2021,Argentina,Australia,0,0,0,0,10/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,162546,2021,Argentina,Italy,0,0,0,0,09/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,162546,2021,Netherlands,Argentina,0,0,0,0,05/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,162546,2021,Argentina,Slovenia,0,1,4,5,04/06/2021,0,0,1,1,4,2,4,10,0,1,0,1,0,0,0,0,4,2,0,6
149,162546,2021,Germany,Argentina,0,1,1,2,03/06/2021,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
150,162546,2021,USA,Argentina,0,1,6,7,30/05/2021,0,0,0,0,5,4,4,13,1,0,0,1,0,0,0,0,1,1,0,2
151,162546,2021,Argentina,Canada,0,2,1,3,29/05/2021,0,0,0,0,2,1,4,7,0,0,0,0,0,0,0,0,1,2,0,3
152,162546,2021,Brazil,Argentina,0,0,1,1,28/05/2021,0,0,0,0,1,0,1,2,0,0,0,0,0,1,2,3,1,2,0,3
153,125049,2021,Iran,Argentina,0,0,0,0,23/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,125049,2021,France,Argentina,0,2,6,8,22/06/2021,0,0,2,2,5,1,3,9,1,2,0,3,2,2,7,11,2,0,1,3
155,125049,2021,Poland,Argentina,0,0,0,0,21/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,125049,2021,Argentina,Serbia,0,0,0,0,17/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,125049,2021,Argentina,Russia,0,0,0,0,16/06/2021,0,0,0,0,0,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0
158,125049,2021,Argentina,Bulgaria,0,0,0,0,15/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
159,125049,2021,Japan,Argentina,0,0,0,0,11/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,125049,2021,Argentina,Australia,0,0,10,10,10/06/2021,0,0,2,2,9,2,2,13,0,2,0,2,9,1,10,20,3,1,0,4
161,125049,2021,Argentina,Italy,0,2,5,7,09/06/2021,0,0,2,2,8,1,4,13,0,1,1,2,3,1,10,14,1,3,0,4
162,125049,2021,Netherlands,Argentina,0,0,0,0,05/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,125049,2021,Argentina,Slovenia,0,1,2,3,04/06/2021,0,0,1,1,2,1,6,9,2,2,1,5,3,1,11,15,2,0,0,2
164,125049,2021,Germany,Argentina,0,3,13,16,03/06/2021,0,0,4,4,8,5,17,30,3,1,2,6,11,2,20,33,6,4,3,13
165,125049,2021,USA,Argentina,0,0,0,0,30/05/2021,0,0,3,3,0,0,0,0,0,0,0,0,4,3,20,27,12,5,1,18
166,125049,2021,Argentina,Canada,0,3,5,8,29/05/2021,0,0,0,0,6,6,3,15,1,0,0,1,4,1,18,23,3,3,1,7
