No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
39.0,Vulikic Andrija,S,166724,2022,Serbia,Serbia,26.0,193,2,0.50,1,33.33%,0.25,1,50.00%,0.25,0,0.00%,0.00
40.0,Milovic Miljan,L,189278,2022,Serbia,Serbia,28.0,190,-,-,-,-,-,-,-,-,-,-,-
,Igor KOLAKOVIĆ,COACH,N/A,2022,Serbia,,,,,,,,,,,,,,
1.0,Štern Tonček,O,151390,2022,Slovenia,Slovenia,27.0,200,96,9.60,78,46.99%,7.80,7,17.95%,0.70,11,10.58%,1.10
2.0,Pajenk Alen,MB,114962,2022,Slovenia,Slovenia,36.0,203,70,5.83,54,60.67%,4.50,12,20.69%,1.00,4,3.85%,0.33
3.0,Planinšič Uroš,S,168715,2022,Slovenia,Slovenia,24.0,186,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
4.0,Kozamernik Jan,MB,151391,2022,Slovenia,Slovenia,27.0,204,71,5.92,45,61.64%,3.75,22,25.00%,1.83,4,2.82%,0.33
5.0,Šket Alen,O,119022,2022,Slovenia,Slovenia,34.0,205,-,-,-,-,-,-,-,-,-,-,-
6.0,Gasparini Mitja,O,114952,2022,Slovenia,Slovenia,38.0,202,25,3.12,20,48.78%,2.50,2,25.00%,0.25,3,7.50%,0.38
7.0,Košenina Alan,L,153301,2022,Slovenia,Slovenia,26.0,189,0,0.00,0,-,-,0,-,-,0,-,-
8.0,Bošnjak Crtomir,OH,154046,2022,Slovenia,Slovenia,22.0,196,11,1.38,9,50.00%,1.12,2,40.00%,0.25,0,0.00%,0.00
9.0,Vincic Dejan,S,114956,2022,Slovenia,Slovenia,36.0,200,6,0.75,3,42.86%,0.38,1,12.50%,0.12,2,6.25%,0.25
10.0,Štalekar Sašo,MB,151404,2022,Slovenia,Slovenia,26.0,214,2,0.50,1,20.00%,0.25,1,9.09%,0.25,0,0.00%,0.00
11.0,Koncilja Danijel,MB,144483,2022,Slovenia,Slovenia,32.0,201,29,2.42,25,51.02%,2.08,4,14.81%,0.33,0,0.00%,0.00
12.0,Klobucar Jan,L,154546,2022,Slovenia,Slovenia,30.0,196,6,0.75,5,29.41%,0.62,1,25.00%,0.12,0,0.00%,0.00
13.0,Kovačič Jani,L,144415,2022,Slovenia,Slovenia,30.0,186,0,0.00,0,-,-,0,-,-,0,-,-
