No.,Player Name,Position,Player_ID,Year,Country_Name,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
9.0,Jovovic Nikola,S,124911,2021,Serbia,Serbia,30.0,197,15,1.00,5,41.67%,0.33,8,17.78%,0.53,2,1.27%,0.13
10.0,Kujundžić Miran,OH,162122,2021,Serbia,Serbia,24.0,196,30,2.14,26,41.94%,1.86,2,14.29%,0.14,2,6.06%,0.14
11.0,Batak Aleksa,S,173249,2021,Serbia,Serbia,22.0,198,0,0.00,0,-,-,0,-,-,0,-,-
12.0,Peric Pavle,OH,173251,2021,Serbia,Serbia,23.0,207,56,3.73,44,47.83%,2.93,8,33.33%,0.53,4,5.97%,0.27
13.0,Simic Stevan,MB,143792,2021,Serbia,Serbia,26.0,201,14,1.17,11,84.62%,0.92,3,20.00%,0.25,0,0.00%,0.00
14.0,Atanasijevic Aleksandar,O,124915,2021,Serbia,Serbia,30.0,200,128,8.53,114,48.93%,7.60,6,11.32%,0.40,8,6.61%,0.53
16.0,Luburic Drazen,O,143794,2021,Serbia,Serbia,28.0,202,159,10.60,133,51.15%,8.87,7,15.91%,0.47,19,15.20%,1.27
18.0,Podrascanin Marko,MB,116525,2021,Serbia,Serbia,34.0,204,140,9.33,87,67.44%,5.80,44,27.33%,2.93,9,3.98%,0.60
21.0,Todorovic Vuk,S,173250,2021,Serbia,Serbia,23.0,190,4,0.31,2,66.67%,0.15,1,5.56%,0.08,1,1.85%,0.08
23.0,Vucicevic Bozidar,O,168276,2021,Serbia,Serbia,23.0,205,0,0.00,0,0.00%,0.00,0,-,-,0,-,-
26.0,Kovac Davide,OH,146751,2021,Serbia,Serbia,22.0,192,5,0.33,4,26.67%,0.27,1,20.00%,0.07,0,0.00%,0.00
,Slobodan KOVAČ,COACH,N/A,2021,Serbia,,,,,,,,,,,,,,
1.0,Štern Tonček,O,151390,2021,Slovenia,Slovenia,26.0,200,182,12.13,154,49.36%,10.27,15,18.99%,1.00,13,7.03%,0.87
2.0,Pajenk Alen,MB,114962,2021,Slovenia,Slovenia,35.0,203,140,8.24,102,64.56%,6.00,20,17.54%,1.18,18,7.00%,1.06
3.0,Pernuš Gregor,S,181130,2021,Slovenia,Slovenia,22.0,195,1,0.25,0,-,-,1,100%,0.25,0,0.00%,0.00
4.0,Kozamernik Jan,MB,151391,2021,Slovenia,Slovenia,26.0,204,99,6.19,65,58.56%,4.06,27,19.85%,1.69,7,3.55%,0.44
5.0,Šket Alen,O,119022,2021,Slovenia,Slovenia,33.0,205,32,2.00,27,40.91%,1.69,2,8.33%,0.12,3,6.12%,0.19
6.0,Gasparini Mitja,O,114952,2021,Slovenia,Slovenia,37.0,202,22,1.38,19,41.30%,1.19,2,50.00%,0.12,1,3.57%,0.06
9.0,Vincic Dejan,S,114956,2021,Slovenia,Slovenia,35.0,200,4,0.29,0,0.00%,0.00,2,28.57%,0.14,2,11.76%,0.14
10.0,Štalekar Sašo,MB,151404,2021,Slovenia,Slovenia,25.0,214,5,0.45,2,25.00%,0.18,3,27.27%,0.27,0,0.00%,0.00
11.0,Štern Žiga,OH,155920,2021,Slovenia,Slovenia,28.0,193,41,2.41,37,48.68%,2.18,2,25.00%,0.12,2,6.25%,0.12
12.0,Klobucar Jan,L,154546,2021,Slovenia,Slovenia,29.0,196,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
13.0,Kovačič Jani,L,144415,2021,Slovenia,Slovenia,29.0,186,0,0.00,0,-,-,0,-,-,0,-,-
15.0,Videčnik Matic,MB,161754,2021,Slovenia,Slovenia,28.0,203,5,0.36,4,66.67%,0.29,0,0.00%,0.00,1,4.35%,0.07
16.0,Ropret Gregor,S,119018,2021,Slovenia,Slovenia,33.0,192,36,2.12,12,63.16%,0.71,11,16.42%,0.65,13,5.91%,0.76
17.0,Urnaut Tine,OH,114957,2021,Slovenia,Slovenia,33.0,200,160,9.41,150,47.32%,8.82,7,13.73%,0.41,3,1.68%,0.18
18.0,Čebulj Klemen,OH,136918,2021,Slovenia,Slovenia,30.0,202,234,13.76,200,47.17%,11.76,19,25.00%,1.12,15,7.25%,0.88
19.0,Možič Rok,OH,168747,2021,Slovenia,Slovenia,20.0,200,75,4.41,66,56.90%,3.88,7,23.33%,0.41,2,3.64%,0.12
,ALBERTO GIULIANI,COACH,N/A,2021,Slovenia,,,,,,,,,,,,,,
1.0,Anderson Matthew,O,118893,2021,USA,USA,34.0,202,89,9.89,77,54.61%,8.56,7,21.21%,0.78,5,6.76%,0.56
3.0,Sander Taylor,OH,124941,2021,USA,USA,30.0,196,56,9.33,43,53.75%,7.17,8,38.10%,1.33,5,11.11%,0.83
4.0,Jendryk II Jeffrey,MB,147721,2021,USA,USA,26.0,208,34,2.62,23,53.49%,1.77,10,30.30%,0.77,1,2.33%,0.08
5.0,Ensing Kyle,O,147417,2021,USA,USA,25.0,201,88,6.29,70,44.30%,5.00,14,24.56%,1.00,4,4.65%,0.29
6.0,Stahl Mitchell,MB,140185,2021,USA,USA,27.0,203,64,4.92,39,54.93%,3.00,15,22.39%,1.15,10,10.00%,0.77
7.0,Shoji Kawika,S,118913,2021,USA,USA,34.0,190,14,1.08,7,87.50%,0.54,5,21.74%,0.38,2,4.26%,0.15
8.0,Defalco Torey,OH,139254,2021,USA,USA,24.0,198,148,9.87,126,46.67%,8.40,18,31.58%,1.20,4,2.99%,0.27
9.0,Hanes Jake,O,170104,2021,USA,USA,23.0,210,2,0.50,2,66.67%,0.50,0,0.00%,0.00,0,0.00%,0.00
11.0,Christenson Micah,S,124879,2021,USA,USA,28.0,198,34,2.83,16,44.44%,1.33,5,10.00%,0.42,13,8.12%,1.08
12.0,Holt Maxwell,MB,118901,2021,USA,USA,35.0,205,61,5.08,40,53.33%,3.33,15,29.41%,1.25,6,5.77%,0.50
13.0,Patch Benjamin,O,136074,2021,USA,USA,27.0,203,64,7.11,55,47.83%,6.11,7,41.18%,0.78,2,4.26%,0.22
15.0,Sander Brenden,OH,147725,2021,USA,USA,26.0,193,18,1.64,14,34.15%,1.27,2,25.00%,0.18,2,8.33%,0.18
16.0,Tuaniga Joshua,S,147543,2021,USA,USA,25.0,191,4,0.80,4,66.67%,0.80,0,0.00%,0.00,0,0.00%,0.00
17.0,Jaeschke Thomas,OH,143682,2021,USA,USA,28.0,198,54,4.50,43,42.16%,3.58,6,21.43%,0.50,5,7.81%,0.42
18.0,Muagututia Garrett,OH,133463,2021,USA,USA,34.0,205,90,6.00,78,46.43%,5.20,4,12.90%,0.27,8,6.35%,0.53
19.0,Averill Taylor,MB,148120,2021,USA,USA,30.0,201,21,3.00,17,62.96%,2.43,4,28.57%,0.57,0,0.00%,0.00
20.0,Smith David,MB,116069,2021,USA,USA,36.0,201,60,4.29,42,53.85%,3.00,9,15.00%,0.64,9,7.76%,0.64
21.0,Watten Dustin,L,133895,2021,USA,USA,35.0,182,0,0.00,0,-,-,0,-,-,0,-,-
22.0,Shoji Erik,L,119732,2021,USA,USA,32.0,184,0,0.00,0,-,-,0,-,-,0,-,-
,John Speraw,COACH,N/A,2021,USA,,,,,,,,,,,,,,
1.0,Sanchez Matias,S,142412,2022,Argentina,Argentina,26.0,175,8,0.67,5,45.45%,0.42,2,9.09%,0.17,1,1.04%,0.08
2.0,Scarpa Tobias,L,174866,2022,Argentina,Argentina,21.0,180,-,-,-,-,-,-,-,-,-,-,-
3.0,Martinez Franchi Jan,U,142410,2022,Argentina,Argentina,25.0,190,-,-,-,-,-,-,-,-,-,-,-
4.0,Gallego Joaquin,MB,142411,2022,Argentina,Argentina,26.0,204,41,3.42,26,54.17%,2.17,15,30.00%,1.25,0,0.00%,0.00
5.0,Urchevich Pablo,S,171315,2022,Argentina,Argentina,21.0,189,-,-,-,-,-,-,-,-,-,-,-
6.0,Martina Federico,O,132647,2022,Argentina,Argentina,30.0,202,-,-,-,-,-,-,-,-,-,-,-
7.0,Conte Facundo,OH,118886,2022,Argentina,Argentina,33.0,197,-,-,-,-,-,-,-,-,-,-,-
8.0,Loser Agustin,MB,152692,2022,Argentina,Argentina,25.0,198,129,10.75,95,58.28%,7.92,26,17.45%,2.17,8,4.55%,0.67
9.0,Danani Santiago,L,153053,2022,Argentina,Argentina,27.0,176,0,0.00,0,-,-,0,-,-,0,-,-
10.0,Lazo Nicolás,OH,136737,2022,Argentina,Argentina,27.0,192,32,2.67,30,45.45%,2.50,0,0.00%,0.00,2,3.51%,0.17
11.0,Armoa Manuel,OH,174853,2022,Argentina,Argentina,20.0,195,31,2.58,22,29.73%,1.83,7,38.89%,0.58,2,6.25%,0.17
12.0,Lima Bruno,O,142415,2022,Argentina,Argentina,27.0,198,158,13.17,136,50.56%,11.33,12,17.39%,1.00,10,6.90%,0.83
13.0,Palacios Ezequiel,OH,125048,2022,Argentina,Argentina,30.0,198,148,12.33,130,49.06%,10.83,9,9.68%,0.75,9,6.04%,0.75
14.0,Mendez Nicolas,OH,125049,2022,Argentina,Argentina,30.0,191,-,-,-,-,-,-,-,-,-,-,-
15.0,De Cecco Luciano,S,117457,2022,Argentina,Argentina,34.0,191,10,2.50,2,25.00%,0.50,3,11.11%,0.75,5,7.14%,1.25
16.0,Palonsky Luciano,OH,162546,2022,Argentina,Argentina,23.0,198,78,6.50,76,49.67%,6.33,1,4.00%,0.08,1,1.43%,0.08
17.0,Vicentin Luciano,OH,163555,2022,Argentina,Argentina,22.0,197,74,6.17,63,41.45%,5.25,6,16.67%,0.50,5,4.85%,0.42
18.0,Ramos Martin,MB,125047,2022,Argentina,Argentina,31.0,197,27,2.25,20,51.28%,1.67,6,16.22%,0.50,1,1.89%,0.08
19.0,Massimino Franco,L,135349,2022,Argentina,Argentina,34.0,177,0,0.00,0,-,-,0,-,-,0,-,-
20.0,Zelayeta Mauro,OH,160816,2022,Argentina,Argentina,23.0,190,-,-,-,-,-,-,-,-,-,-,-
22.0,Zerba Nicolas,MB,162543,2022,Argentina,Argentina,23.0,203,37,3.08,26,49.06%,2.17,8,8.99%,0.67,3,3.85%,0.25
23.0,Rajczakowski Flavio,MB,162542,2022,Argentina,Argentina,24.0,200,-,-,-,-,-,-,-,-,-,-,-
24.0,Balague Manuel,O,152699,2022,Argentina,Argentina,24.0,190,-,-,-,-,-,-,-,-,-,-,-
66.0,Medina Franco,MB,163557,2022,Argentina,Argentina,23.0,197,-,-,-,-,-,-,-,-,-,-,-
77.0,Giraudo Matias,S,142420,2022,Argentina,Argentina,25.0,196,9,1.12,4,66.67%,0.50,2,25.00%,0.25,3,11.11%,0.38
,Marcelo Rodolfo MENDEZ,COACH,N/A,2022,Argentina,,,,,,,,,,,,,,
1.0,Graham Beau,MB,144457,2022,Australia,Australia,28.0,203,74,6.17,56,56.00%,4.67,13,18.06%,1.08,5,4.03%,0.42
2.0,Dosanjh Arshdeep,S,144456,2022,Australia,Australia,26.0,205,30,2.50,20,52.63%,1.67,6,14.63%,0.50,4,4.08%,0.33
3.0,Pope Lorenzo,OH,174192,2022,Australia,Australia,21.0,205,148,12.33,134,55.37%,11.17,11,26.19%,0.92,3,2.54%,0.25
4.0,Holland Jackson,L,160879,2022,Australia,Australia,24.0,186,0,0.00,0,-,-,0,-,-,0,-,-
5.0,Murch Malachi,OH,139052,2022,Australia,Australia,28.0,197,30,7.50,26,44.83%,6.50,4,30.77%,1.00,0,0.00%,0.00
6.0,Edgar Thomas,O,125036,2022,Australia,Australia,33.0,212,-,-,-,-,-,-,-,-,-,-,-
7.0,Weir James,MB,162077,2022,Australia,Australia,27.0,204,60,7.50,46,58.97%,5.75,10,17.86%,1.25,4,5.80%,0.50
8.0,O'Dea Trent,MB,144464,2022,Australia,Australia,28.0,201,42,3.50,32,49.23%,2.67,8,18.60%,0.67,2,2.44%,0.17
9.0,Staples Max,OH,135532,2022,Australia,Australia,28.0,194,28,7.00,22,34.38%,5.50,4,30.77%,1.00,2,4.55%,0.50
10.0,Borgeaud Nicolas,S,151041,2022,Australia,Australia,29.0,190,-,-,-,-,-,-,-,-,-,-,-
11.0,Perry Luke,L,144578,2022,Australia,Australia,27.0,180,0,0.00,0,-,-,0,-,-,0,-,-
12.0,Mote Nehemiah,MB,144461,2022,Australia,Australia,29.0,203,-,-,-,-,-,-,-,-,-,-,-
13.0,Heptinstall Thomas,O,168641,2022,Australia,Australia,24.0,206,69,5.75,58,39.46%,4.83,4,15.38%,0.33,7,6.14%,0.58
14.0,Hazelden Hamish,O,162264,2022,Australia,Australia,26.0,204,27,3.38,24,44.44%,3.00,2,13.33%,0.25,1,3.85%,0.12
15.0,McAinsh Conal Tain,MB,172376,2022,Australia,Australia,25.0,202,0,-,0,-,-,0,-,-,0,-,-
17.0,Phillips Korben,MB,181281,2022,Australia,Australia,21.0,197,0,-,0,-,-,0,-,-,0,-,-
18.0,Williams Lincoln Alexander,O,132958,2022,Australia,Australia,29.0,200,-,-,-,-,-,-,-,-,-,-,-
19.0,D'Arcy-Miles William,O,186917,2022,Australia,Australia,20.0,211,-,-,-,-,-,-,-,-,-,-,-
21.0,Butler Nicholas,S,158841,2022,Australia,Australia,25.0,198,5,0.42,2,33.33%,0.17,0,0.00%,0.00,3,6.25%,0.25
23.0,Flowerday Sam,OH,178207,2022,Australia,Australia,20.0,191,4,0.33,4,25.00%,0.33,0,0.00%,0.00,0,0.00%,0.00
26.0,Sidiropoulos Dimitri,S,172333,2022,Australia,Australia,28.0,196,-,-,-,-,-,-,-,-,-,-,-
27.0,Senica Max,OH,162870,2022,Australia,Australia,23.0,191,31,2.58,30,35.71%,2.50,1,7.69%,0.08,0,0.00%,0.00
29.0,Garrett Ethan,OH,169335,2022,Australia,Australia,22.0,196,19,1.58,17,36.96%,1.42,1,8.33%,0.08,1,3.33%,0.08
31.0,Aubrey Matthew,O,162265,2022,Australia,Australia,25.0,209,23,5.75,21,43.75%,5.25,1,6.25%,0.25,1,4.35%,0.25
33.0,Bray Lachlan,OH,189191,2022,Australia,Australia,24.0,196,-,-,-,-,-,-,-,-,-,-,-
,David Preston,COACH,N/A,2022,Australia,,,,,,,,,,,,,,
1.0,Rezende Bruno Mossa,S,116099,2022,Brazil,Brazil,36.0,190,16,1.23,5,55.56%,0.38,3,5.77%,0.23,8,5.16%,0.62
2.0,Andrade Leonardo Henrique,MB,174334,2022,Brazil,Brazil,20.0,203,0,-,0,-,-,0,-,-,0,-,-
3.0,De Barros Ferreira João Rafael,OH,136955,2022,Brazil,Brazil,30.0,193,-,-,-,-,-,-,-,-,-,-,-
4.0,Cargnin Paese Franco Willian,O,124456,2022,Brazil,Brazil,33.0,202,3,0.75,3,42.86%,0.75,0,0.00%,0.00,0,-,-
5.0,Gonçalves Matheus Silva,S,161942,2022,Brazil,Brazil,25.0,185,-,-,-,-,-,-,-,-,-,-,-
6.0,Fernandes P.X.Cavalcante Adriano,OH,174908,2022,Brazil,Brazil,21.0,201,41,3.15,34,47.89%,2.62,2,11.11%,0.15,5,7.14%,0.38
7.0,Arjona William,S,135380,2022,Brazil,Brazil,43.0,186,-,-,-,-,-,-,-,-,-,-,-
8.0,De Souza Wallace,O,112869,2022,Brazil,Brazil,35.0,198,-,-,-,-,-,-,-,-,-,-,-
9.0,Leal Hidalgo Yoandy,OH,118928,2022,Brazil,Brazil,34.0,202,112,12.44,100,52.63%,11.11,6,13.33%,0.67,6,5.17%,0.67
10.0,Bispo dos Santos Matheus,MB,164313,2022,Brazil,Brazil,26.0,207,-,-,-,-,-,-,-,-,-,-,-
11.0,Leao Rodrigo,OH,142721,2022,Brazil,Brazil,26.0,197,49,3.77,35,42.68%,2.69,6,24.00%,0.46,8,12.90%,0.62
12.0,Santos Isac,MB,119872,2022,Brazil,Brazil,32.0,208,67,5.15,47,62.67%,3.62,10,13.51%,0.77,10,9.26%,0.77
13.0,Kavalkievicz Gabriel,OH,151789,2022,Brazil,Brazil,26.0,191,7,1.75,7,46.67%,1.75,0,0.00%,0.00,0,0.00%,0.00
14.0,Gil Kreling Fernando,S,142744,2022,Brazil,Brazil,27.0,186,2,0.15,1,50.00%,0.08,0,0.00%,0.00,1,3.33%,0.08
15.0,Nascimento Maique Reis,L,161939,2022,Brazil,Brazil,25.0,187,0,0.00,0,-,-,0,-,-,0,-,-
16.0,Saatkamp Lucas,MB,116081,2022,Brazil,Brazil,37.0,209,54,6.75,38,57.58%,4.75,11,20.00%,1.38,5,4.90%,0.62
17.0,Hoss Thales,L,118916,2022,Brazil,Brazil,33.0,190,0,0.00,0,-,-,0,-,-,0,-,-
18.0,Souza Ricardo Lucarelli,OH,136468,2022,Brazil,Brazil,31.0,196,88,9.78,75,51.37%,8.33,6,18.75%,0.67,7,6.67%,0.78
19.0,Santos Leandro,MB,136954,2022,Brazil,Brazil,30.0,197,2,0.15,1,100%,0.08,1,33.33%,0.08,0,0.00%,0.00
20.0,Honorato Henrique Dantas Nóbrega,OH,161930,2022,Brazil,Brazil,26.0,190,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
21.0,Souza Alan,O,136947,2022,Brazil,Brazil,29.0,202,113,16.14,98,54.75%,14.00,9,20.45%,1.29,6,7.23%,0.86
22.0,Elias Alexandre Figueiredo,L,161911,2022,Brazil,Brazil,25.0,190,-,-,-,-,-,-,-,-,-,-,-
23.0,Resende Gualberto Flavio,MB,136956,2022,Brazil,Brazil,29.0,199,108,8.31,78,61.90%,6.00,29,22.48%,2.23,1,0.78%,0.08
25.0,Almeida Cardoso Victor Alexsander,OH,161946,2022,Brazil,Brazil,24.0,199,0,0.00,0,0.00%,0.00,0,-,-,0,0.00%,0.00
28.0,Ferreira Souza Darlan,O,174902,2022,Brazil,Brazil,20.0,192,81,9.00,75,53.19%,8.33,4,9.30%,0.44,2,3.08%,0.22
,RENAN DAL ZOTTO,COACH,N/A,2022,Brazil,,,,,,,,,,,,,,
1.0,Karyagin Denis,OH,174445,2022,Bulgaria,Bulgaria,20.0,206,40,3.33,37,45.12%,3.08,1,11.11%,0.08,2,4.88%,0.17
2.0,Chavdarov Stefan,MB,180588,2022,Bulgaria,Bulgaria,27.0,202,27,2.25,21,58.33%,1.75,3,15.00%,0.25,3,5.56%,0.25
3.0,Kolev Nikolay,MB,173067,2022,Bulgaria,Bulgaria,25.0,204,77,6.42,58,65.91%,4.83,16,23.19%,1.33,3,2.48%,0.25
4.0,Atanasov Martin,OH,156676,2022,Bulgaria,Bulgaria,26.0,197,139,11.58,117,45.88%,9.75,7,18.42%,0.58,15,10.20%,1.25
5.0,Gotsev Svetoslav,MB,132035,2022,Bulgaria,Bulgaria,32.0,205,82,6.83,44,61.11%,3.67,35,38.04%,2.92,3,2.91%,0.25
6.0,Stankov Vladimir,S,162124,2022,Bulgaria,Bulgaria,26.0,190,-,-,-,-,-,-,-,-,-,-,-
7.0,Dimitrov Dobromir,S,136489,2022,Bulgaria,Bulgaria,31.0,198,4,0.33,2,33.33%,0.17,0,0.00%,0.00,2,4.65%,0.17
9.0,Seganov Georgi,S,137012,2022,Bulgaria,Bulgaria,29.0,197,18,1.50,9,47.37%,0.75,8,18.18%,0.67,1,0.75%,0.08
10.0,Stankov Svetoslav,S,181285,2022,Bulgaria,Bulgaria,26.0,195,-,-,-,-,-,-,-,-,-,-,-
11.0,Grozdanov Aleks,MB,152619,2022,Bulgaria,Bulgaria,24.0,208,25,6.25,15,44.12%,3.75,8,14.29%,2.00,2,5.26%,0.50
12.0,Tatarov Georgi,O,174484,2022,Bulgaria,Bulgaria,19.0,198,-,-,-,-,-,-,-,-,-,-,-
13.0,Dimitrov Dimitar,O,180587,2022,Bulgaria,Bulgaria,22.0,208,-,-,-,-,-,-,-,-,-,-,-
14.0,Asparuhov Asparuh,OH,168269,2022,Bulgaria,Bulgaria,22.0,201,48,4.00,37,43.02%,3.08,6,26.09%,0.50,5,11.36%,0.42
15.0,Parapunov Radoslav,O,150277,2022,Bulgaria,Bulgaria,25.0,205,88,7.33,72,40.22%,6.00,12,20.00%,1.00,4,3.92%,0.33
16.0,Ivanov Vladislav,L,118484,2022,Bulgaria,Bulgaria,36.0,188,0,0.00,0,-,-,0,-,-,0,-,-
17.0,Valchinov Samuil,OH,174444,2022,Bulgaria,Bulgaria,21.0,202,0,-,0,-,-,0,-,-,0,-,-
18.0,Ivanov Svetoslav,OH,164812,2022,Bulgaria,Bulgaria,22.0,197,10,0.83,8,50.00%,0.67,1,20.00%,0.08,1,9.09%,0.08
20.0,Ragin Ventsislav,MB,136483,2022,Bulgaria,Bulgaria,30.0,201,-,-,-,-,-,-,-,-,-,-,-
21.0,Petkov Iliya,MB,168268,2022,Bulgaria,Bulgaria,26.0,200,0,-,0,-,-,0,-,-,0,-,-
22.0,Kartev Nikolay,MB,162123,2022,Bulgaria,Bulgaria,27.0,204,-,-,-,-,-,-,-,-,-,-,-
23.0,Nikolov Aleksandar,OH,180586,2022,Bulgaria,Bulgaria,19.0,207,172,14.33,150,51.72%,12.50,13,22.81%,1.08,9,5.70%,0.75
24.0,Ivanov Martin,L,173009,2022,Bulgaria,Bulgaria,31.0,190,0,0.00,0,-,-,0,-,-,0,-,-
25.0,Antov Venislav,O,181806,2022,Bulgaria,Bulgaria,18.0,196,-,-,-,-,-,-,-,-,-,-,-
26.0,Zahariev Nikolay,MB,174446,2022,Bulgaria,Bulgaria,22.0,205,-,-,-,-,-,-,-,-,-,-,-
27.0,Bozhilov Martin,L,135372,2022,Bulgaria,Bulgaria,34.0,190,-,-,-,-,-,-,-,-,-,-,-
,Nikolay Jeliazkov,COACH,N/A,2022,Bulgaria,,,,,,,,,,,,,,
1.0,Canham Jordan,O,168941,2022,Canada,Canada,22.0,195,-,-,-,-,-,-,-,-,-,-,-
2.0,Neaves Matthew,O,168922,2022,Canada,Canada,22.0,208,-,-,-,-,-,-,-,-,-,-,-
3.0,Elser Jesse,OH,162249,2022,Canada,Canada,23.0,204,0,0.00,0,-,-,0,-,-,0,-,-
4.0,Hoag Nicholas,OH,136291,2022,Canada,Canada,30.0,200,37,4.11,33,48.53%,3.67,2,20.00%,0.22,2,3.39%,0.22
5.0,Loeppky Eric,OH,157327,2022,Canada,Canada,24.0,197,73,9.12,60,42.55%,7.50,4,23.53%,0.50,9,11.39%,1.12
6.0,Demyanenko Danny,MB,140042,2022,Canada,Canada,28.0,196,-,-,-,-,-,-,-,-,-,-,-
7.0,Maar Stephen Timothy,OH,140061,2022,Canada,Canada,28.0,201,163,13.58,139,43.99%,11.58,9,14.06%,0.75,15,10.87%,1.25
8.0,Walsh Brett James,S,143745,2022,Canada,Canada,29.0,196,14,1.75,5,38.46%,0.62,5,16.67%,0.62,4,5.63%,0.50
9.0,Blankenau Jay,S,124553,2022,Canada,Canada,33.0,194,4,0.50,2,50.00%,0.25,0,0.00%,0.00,2,7.41%,0.25
10.0,Sclater Ryan Joseph,O,140428,2022,Canada,Canada,29.0,200,102,8.50,83,49.70%,6.92,10,17.86%,0.83,9,7.32%,0.75
11.0,Eshenko Pearson,MB,157324,2022,Canada,Canada,25.0,204,40,3.33,26,46.43%,2.17,12,18.18%,1.00,2,2.99%,0.17
12.0,Van Berkel Lucas,MB,136296,2022,Canada,Canada,31.0,210,30,2.50,25,55.56%,2.08,5,7.25%,0.42,0,0.00%,0.00
13.0,Elgert Max,S,157588,2022,Canada,Canada,24.0,191,-,-,-,-,-,-,-,-,-,-,-
14.0,Ketrzynski Xander,MB,168918,2022,Canada,Canada,23.0,208,-,-,-,-,-,-,-,-,-,-,-
15.0,Wilson Marc Major,L,153661,2022,Canada,Canada,31.0,203,5,0.62,4,57.14%,0.50,1,16.67%,0.12,0,0.00%,0.00
16.0,Schnitzer Jordan,MB,183276,2022,Canada,Canada,23.0,198,-,-,-,-,-,-,-,-,-,-,-
17.0,Barnes Ryley Brendan,OH,140057,2022,Canada,Canada,29.0,200,12,1.00,12,35.29%,1.00,0,0.00%,0.00,0,0.00%,0.00
18.0,Lui Justin,L,168925,2022,Canada,Canada,22.0,178,0,0.00,0,-,-,0,-,-,0,-,-
19.0,Hofer Brodie,OH,168914,2022,Canada,Canada,22.0,200,40,3.33,30,45.45%,2.50,1,8.33%,0.08,9,13.64%,0.75
20.0,Epp Derek,S,157332,2022,Canada,Canada,24.0,201,3,0.50,2,40.00%,0.33,1,7.14%,0.17,0,0.00%,0.00
21.0,Howe Jackson,MB,169578,2022,Canada,Canada,24.0,198,60,5.00,45,56.96%,3.75,13,16.46%,1.08,2,2.50%,0.17
22.0,Koppers Brandon,OH,148397,2022,Canada,Canada,27.0,200,-,-,-,-,-,-,-,-,-,-,-
23.0,McCarthy Fynnian Lionel,MB,162251,2022,Canada,Canada,23.0,200,-,-,-,-,-,-,-,-,-,-,-
24.0,Elser Mathias,OH,168908,2022,Canada,Canada,21.0,198,29,2.42,26,47.27%,2.17,2,18.18%,0.17,1,1.75%,0.08
25.0,Cooper Samuel,OH,182679,2022,Canada,Canada,21.0,200,15,2.14,14,45.16%,2.00,0,0.00%,0.00,1,5.88%,0.14
,Benjamin Josephson,COACH,N/A,2022,Canada,,,,,,,,,,,,,,
1.0,Dai Qingyao,OH,122004,2022,China,China,31.0,208,-,-,-,-,-,-,-,-,-,-,-
2.0,Jiang Chuan,O,142855,2022,China,China,28.0,205,-,-,-,-,-,-,-,-,-,-,-
3.0,Qu Zongshuai,L,174158,2022,China,China,24.0,186,-,-,-,-,-,-,-,-,-,-,-
4.0,Yang Yiming,L,174295,2022,China,China,23.0,186,0,0.00,0,-,-,0,-,-,0,-,-
5.0,Zhang Binglong,OH,153610,2022,China,China,28.0,197,12,1.20,11,45.83%,1.10,0,0.00%,0.00,1,3.70%,0.10
6.0,Yu Yuantai,OH,152518,2022,China,China,25.0,186,66,6.60,57,44.88%,5.70,6,27.27%,0.60,3,2.59%,0.30
7.0,Yu Yaochen,S,142593,2022,China,China,27.0,195,20,2.00,8,66.67%,0.80,9,23.08%,0.90,3,2.80%,0.30
8.0,Yang Tianyuan,L,168272,2022,China,China,28.0,180,0,0.00,0,-,-,0,-,-,0,-,-
9.0,Li Yongzhen,MB,181103,2022,China,China,24.0,198,68,6.80,43,61.43%,4.30,21,24.71%,2.10,4,3.92%,0.40
10.0,Liu Meng,S,158965,2022,China,China,28.0,195,2,0.50,1,33.33%,0.25,0,-,-,1,14.29%,0.25
11.0,Jiang Zhengyang,MB,152526,2022,China,China,24.0,202,20,2.00,12,66.67%,1.20,8,38.10%,0.80,0,0.00%,0.00
12.0,Zhang Zhejia,MB,142581,2022,China,China,27.0,207,-,-,-,-,-,-,-,-,-,-,-
13.0,Chen Leiyang,S,152511,2022,China,China,24.0,198,-,-,-,-,-,-,-,-,-,-,-
14.0,Wang Dongchen,MB,173184,2022,China,China,22.0,200,-,-,-,-,-,-,-,-,-,-,-
15.0,Peng Shikun,MB,168175,2022,China,China,22.0,208,67,7.44,45,57.69%,5.00,16,25.81%,1.78,6,5.13%,0.67
16.0,Wang Hebin,S,174297,2022,China,China,23.0,188,2,0.20,1,50.00%,0.10,1,14.29%,0.10,0,0.00%,0.00
17.0,Wang Jingyi,O,152513,2022,China,China,25.0,202,35,5.83,34,49.28%,5.67,1,25.00%,0.17,0,0.00%,0.00
18.0,Yuan Dangyi,OH,162272,2022,China,China,26.0,200,1,0.10,1,20.00%,0.10,0,0.00%,0.00,0,0.00%,0.00
19.0,Zhang Guanhua,O,182707,2022,China,China,25.0,202,86,8.60,79,46.20%,7.90,6,28.57%,0.60,1,1.15%,0.10
20.0,Dai Haibo,MB,189181,2022,China,China,25.0,201,-,-,-,-,-,-,-,-,-,-,-
21.0,Miao Ruantong,MB,153096,2022,China,China,27.0,205,1,0.10,1,33.33%,0.10,0,0.00%,0.00,0,0.00%,0.00
