No.,Player Name,Position,Player_ID,Year,Country_ID,Nationality,Age,Height,Total Points,Average by Match,Attack Points,Efficiency,Attack Avg Points,Block Points,Block Success,Block Avg Points,Serve Points,Serve Success,Serve Avg Points
10.0,Gutierrez Suarez Miguel David,O,147268,2021,5823,Cuba,25.0,197cm,-,-,-,-,-,-,-,-,-,-,-
11.0,Taboada Diaz Lyvan,S,157477,2021,5823,Cuba,23.0,191cm,-,-,-,-,-,-,-,-,-,-,-
12.0,Herrera Jaime Jesus,O,169940,2021,5823,Cuba,26.0,194cm,-,-,-,-,-,-,-,-,-,-,-
14.0,Goide Arredondo Adrian Eduardo,S,147272,2021,5823,Cuba,23.0,191cm,-,-,-,-,-,-,-,-,-,-,-
18.0,Lopez Castro Miguel Angel,OH,151817,2021,5823,Cuba,24.0,189cm,-,-,-,-,-,-,-,-,-,-,-
19.0,Pedroso Garriga Endriel Alberto,MB,182877,2021,5823,Cuba,19.0,212cm,-,-,-,-,-,-,-,-,-,-,-
22.0,Gutierrez Suarez Jose Miguel,OH,168417,2021,5823,Cuba,20.0,192cm,-,-,-,-,-,-,-,-,-,-,-
23.0,Yant Herrera Marlon,OH,157318,2021,5823,Cuba,20.0,202cm,-,-,-,-,-,-,-,-,-,-,-
24.0,Gorguet Salas Alain,OH,190322,2021,5823,Cuba,28.0,189cm,-,-,-,-,-,-,-,-,-,-,-
,Nicolas Ernesto Vives Coffigny,COACH,N/A,2021,5823,,,,,,,,,,,,,,
1.0,Chinenyeze Barthélémy,MB,152494,2021,5824,France,24.0,204cm,111,6.53,84,55.26%,4.94,23,17.04%,1.35,4,2.01%,0.24
2.0,Grebennikov Jenia,L,119792,2021,5824,France,31.0,188cm,0,0.00,0,-,-,0,-,-,0,-,-
4.0,Patry Jean,O,142694,2021,5824,France,25.0,207cm,146,10.43,127,46.52%,9.07,8,14.04%,0.57,11,7.53%,0.79
6.0,Toniutti Benjamin,S,119804,2021,5824,France,32.0,183cm,5,0.33,1,33.33%,0.07,3,9.68%,0.20,1,0.91%,0.07
7.0,Tillie Kevin,OH,124518,2021,5824,France,31.0,200cm,110,6.88,96,52.46%,6.00,9,25.00%,0.56,5,4.00%,0.31
11.0,Brizard Antoine,S,136851,2021,5824,France,27.0,196cm,49,3.06,26,65.00%,1.62,17,29.82%,1.06,6,4.03%,0.38
12.0,Boyer Stephen,O,142710,2021,5824,France,25.0,196cm,127,8.47,113,50.22%,7.53,10,22.73%,0.67,4,4.40%,0.27
14.0,Le Goff Nicolas,MB,125073,2021,5824,France,30.0,206cm,82,4.82,51,54.26%,3.00,28,25.93%,1.65,3,2.26%,0.18
16.0,Bultor Daryl,MB,142677,2021,5824,France,26.0,197cm,71,4.18,52,56.52%,3.06,11,17.46%,0.65,8,7.69%,0.47
17.0,Clevenot Trevor,OH,132948,2021,5824,France,27.0,199cm,114,8.14,92,48.42%,6.57,15,30.61%,1.07,7,5.47%,0.50
19.0,Louati Yacine,OH,120735,2021,5824,France,30.0,198cm,51,3.92,43,37.39%,3.31,4,18.18%,0.31,4,5.63%,0.31
20.0,Diez Benjamin,L,152506,2021,5824,France,23.0,183cm,0,0.00,0,-,-,0,-,-,0,-,-
